date,day_end_ts,cumulative_realized_net_usdc,open_mtm_net_usdc,combined_equity_net_usdc,open_positions_count,marked_open_positions_count,mark_coverage_share
2025-04-21,2025-04-21T23:59:59+00:00,18804.45526557527,-3727.456981546936,15076.998284028334,110,28,0.2545454545454545
2025-04-22,2025-04-22T23:59:59+00:00,18872.74651557527,-3757.6776177192696,15115.068897856,109,28,0.25688073394495414
2025-04-23,2025-04-23T23:59:59+00:00,19077.22363678592,-3888.6792569156705,15188.544379870247,108,27,0.25
2025-04-24,2025-04-24T23:59:59+00:00,19083.431733904992,-3861.2198693440537,15222.211864560939,110,29,0.2636363636363636
2025-04-25,2025-04-25T23:59:59+00:00,19083.431733904992,-4289.695680437567,14793.736053467426,110,29,0.2636363636363636
2025-04-26,2025-04-26T23:59:59+00:00,19083.431733904992,-4289.695680437567,14793.736053467426,110,29,0.2636363636363636
2025-04-27,2025-04-27T23:59:59+00:00,19083.431733904992,-4289.695680437567,14793.736053467426,110,29,0.2636363636363636
2025-04-28,2025-04-28T23:59:59+00:00,19106.05902016249,-4289.695680437567,14816.363339724925,110,29,0.2636363636363636
2025-04-29,2025-04-29T23:59:59+00:00,19112.07541089865,-4289.695680437567,14822.379730461085,111,29,0.26126126126126126
2025-04-30,2025-04-30T23:59:59+00:00,18992.181652832714,-4250.2545344860755,14741.927118346639,111,28,0.25225225225225223
2025-05-01,2025-05-01T23:59:59+00:00,18987.957277832713,-4250.2545344860755,14737.702743346637,111,28,0.25225225225225223
2025-05-02,2025-05-02T23:59:59+00:00,18987.957277832713,-4250.2545344860755,14737.702743346637,111,28,0.25225225225225223
2025-05-03,2025-05-03T23:59:59+00:00,18987.957277832713,-4250.2545344860755,14737.702743346637,112,28,0.25
2025-05-04,2025-05-04T23:59:59+00:00,19826.585251043187,-4250.2545344860755,15576.330716557111,115,28,0.24347826086956523
2025-05-05,2025-05-05T23:59:59+00:00,19847.710148051185,-4250.2545344860755,15597.45561356511,116,28,0.2413793103448276
2025-05-06,2025-05-06T23:59:59+00:00,19847.710148051185,-4250.2545344860755,15597.45561356511,116,28,0.2413793103448276
2025-05-07,2025-05-07T23:59:59+00:00,19870.786591164997,-4250.2545344860755,15620.532056678921,115,28,0.24347826086956523
2025-05-08,2025-05-08T23:59:59+00:00,21990.888430768395,-4250.2545344860755,17740.63389628232,115,28,0.24347826086956523
